Fréquence (kHz)	Gain (dB)	Déphasage (°)	Vs (V)
0.5	-0.01	-2.69	2.9967
1	-0.04	-5.37	2.9868
2	-0.15	-10.65	2.9484
3	-0.33	-15.75	2.8874
4	-0.57	-20.61	2.8081
5	-0.87	-25.17	2.7151
6	-1.20	-29.42	2.6131
7	-1.56	-33.34	2.5062
8	-1.95	-36.94	2.3977
12	-3.56	-48.44	1.9902
15	-4.75	-54.65	1.7355
18	-5.87	-59.42	1.5264
19	-6.22	-60.75	1.4657
25	-8.14	-66.95	1.1747
30	-9.52	-70.47	1.0027
40	-11.80	-75.11	0.7711
100	-19.51	-83.93	0.3174
200	-25.50	-86.96	0.1594
300	-29.01	-87.97	0.1063
500	-33.44	-88.78	0.0638
700	-36.37	-89.13	0.0456
1000	-39.46	-89.39	0.0319
